Auszug Katalog DLA Marbach 08 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_Katalog,Medium,Person_Verfasser,Person_beteiligt,Titel,"Verfasser, beteiligte",Impressum,Verlag normiert,Haupttitel,Titelzusatz,Verfasserangabe,Auflage,Erscheiungsort,Verlag,Jahr,Jahr_normiert,Bandangabe_Mehrb. Weri,Seiten,Ill-Vermerk,Reihe,Reihe_Nummer,Anmerkung,ISBN,Gattung,Art_Inhalt,Sprache,Sprache_Original,Weitere Titel,Signatur,Signatur_Mehrb_Werk
AK01185459,Buch,"Adler, Hans Günther (1910-1988) [Verfasser/Urheber]","Adler, Jeremy (1947-) [Verfasser eines Vorworts]",¬Die¬ Dichtung der Prager Schule : [zum 100. Geburtstag von H. G. Adler am 2. Juli 2010] - 1. Aufl.,"Adler, Hans Günther; Adler, Jeremy","Wuppertal : Arco-Verl., 2010 - 39 Seiten",Arco-Verl.,Die Dichtung der Prager Schule,[zum 100. Geburtstag von H. G. Adler am 2. Juli 2010],H. G. Adler. Mit einem Vorw. Jeremy Adler,1. Aufl.,Wuppertal,Arco-Verl.,2010,2010,,39 Seiten,Ill.,Coll'arco ; 3,3,,978-3-938375-36-5,Sonstige Texte,,Deutsch,,,M:Kps.Quart,
AK01182539,Buch␟Buchumschlag,"Adler, Hans Günther (1910-1988) [Verfasser/Urheber]","Kohl, Katrin M. (1956-) [Herausgeber]␟Hocheneder, Franz (1962-) [Herausgeber]␟Adler, Jeremy (1947-) [Mitarbeiter]␟Krüger, Michael (1943-) [Verfasser eines Vorworts]",Andere Wege : gesammelte Gedichte : [Werke Sammlung],"Adler, Hans Günther; Kohl, Katrin M.; Hocheneder, Franz; Adler, Jeremy; Krüger, Michael","Klagenfurt ; Wien : Drava, 2010 - 1195 Seiten",Drava-Verl.,Andere Wege,gesammelte Gedichte,H. G. Adler. Hrsg. von Katrin Kohl ... unter Mitw. von Jeremy Adler. Mit einem Geleitw. von Michael Krüger,,Klagenfurt ; Wien,Drava,2010,2010,,1195 Seiten,,,25,,978-3-85435-625-7␟978-3-85435-624-0,Lyrik,Werke Sammlung,Deutsch,,,M,
AK00821181,Buch,"Adler, Hans Günther (1910-1988) [Verfasser/Urheber]",,Viele Jahreszeiten : Gedichte,"Adler, Hans Günther","Wien [u.a.] : Dürer, 1975 - 190 Seiten",Verl. Albrecht Dürer,Viele Jahreszeiten,Gedichte,H. G. Adler,,Wien [u.a.],Dürer,1975,1975,,190 Seiten,,,,,3-7008-0127-0,,,Deutsch,,,M,
AK01531758,Buch,"Adlersfeld-Ballestrem, Eufemia (1854-1941) [Verfasser/Urheber]",,¬Die¬ Fürstäbtissin. Der Spiegel der Lucrezia Borgia : zwei Erzählungen,"Adlersfeld-Ballestrem, Eufemia","Leipzig : Druck und Verlag von Philipp Reclam jun., [1906] - 109 Seiten",Reclam jun. <bis 1945>,Die Fürstäbtissin. Der Spiegel der Lucrezia Borgia,zwei Erzählungen,von Eufemia von Adlersfeld-Ballestrem,,Leipzig,Druck und Verlag von Philipp Reclam jun.,[1906],1906,,109 Seiten,,[Universal-Bibliothek ; 4837],[4837],In Fraktur,,Erzählende Prosa,,Deutsch,,,K,
AK00402742,Buch,"Adt, Wilhelm (1908-1952) [Verfasser/Urheber]",,¬Das¬ Verhältnis Stefan Georges und seines Kreises zu Hölderlin : [Hochschulschrift],"Adt, Wilhelm","Frankfurt am Main, 1934 - 89 Seiten",,Das Verhältnis Stefan Georges und seines Kreises zu Hölderlin,,Wilhelm Adt,,Frankfurt am Main,,1934,1934,,89 Seiten,,,,"Frankfurt a.M., Univ., Diss., 1934",,,Hochschulschrift,Deutsch,,,KK:Kps.,
AK00480065,Buch,"Ahemm, Hildegard (1908-) [Verfasser/Urheber]",,Tates Wahltochter : Erzählung,"Ahemm, Hildegard","Rothenburg o.d. Tauber : Peter, 1976 - 155 Seiten",,Tates Wahltochter,Erzählung,Hildegard Ahemm,,Rothenburg o.d. Tauber,Peter,1976,1976,,155 Seiten,,,,,,,,,,,L,
AK00203591,Mikroform␟Buch,"Ahlefeld, Charlotte von (1777-1849) [Verfasser/Urheber]",,Bunte Blätter zur flüchtigen Unterhaltung aus dem Reiche der Wirklichkeit und der Phantasie - [Mikrofiche-Ausg.],"Ahlefeld, Charlotte von","Quedlinburg [u.a.] : Basse, 1826 - 247 Seiten",Basse,Bunte Blätter zur flüchtigen Unterhaltung aus dem Reiche der Wirklichkeit und der Phantasie,,von d. Verf. d. 'Clara' ...,[Mikrofiche-Ausg.],Quedlinburg [u.a.],Basse,1826,1826,,247 Seiten,,,,"Mikrofiche-Ausg.: Wildberg : Belser Wiss. Dienst, 1989 - 1990. (Edition Corvey)",3-628-40837-7,,,Deutsch,,,MPF Corvey <3-628-40837-7>,
AK00821302,Buch␟Buchumschlag,"Ahlsen, Leopold (1927-2018) [Verfasser/Urheber]",,¬Die¬ Wiesingers in stürmischer Zeit : Roman e. Familie,"Ahlsen, Leopold","Bergisch Gladbach : Lübbe, 1987 - 416 Seiten",Lübbe,Die Wiesingers in stürmischer Zeit,Roman e. Familie,Leopold Ahlsen,,Bergisch Gladbach,Lübbe,1987,1987,,416 Seiten,,,,Pp. (Pr. nicht mitget.),3-7857-0462-3,,,,,,M,
AK00113666,Buch␟Buchumschlag,"Aichinger, Ilse (1921-2016) [Verfasser/Urheber]","Fässler, Simone [Herausgeber]",Kurzschlüsse : Wien - Orig.-Ausg.,"Aichinger, Ilse; Fässler, Simone","Wien : Ed. Korrespondenzen, 2001 - 83 Seiten",Edition Korrespondenzen,Kurzschlüsse,Wien,Ilse Aichinger. Hrsg. und mit e. Nachw. von Simone Fäßler,Orig.-Ausg.,Wien,Ed. Korrespondenzen,2001,2001,,83 Seiten,,,,,3-902113-07-3,Erzählende Prosa,,Deutsch,,,M,
AK01731172,Buch,"Aichinger, Ilse (1921-2016) [Verfasser/Urheber]","Altenrath, Renate [Illustrator]",Seegeister - Einmalige Auflage : [Pressendruck],"Aichinger, Ilse; Altenrath, Renate","Braunschweig : Hochschule für Bildende Künste, 1970 - [18] Seiten",Hochschule für Bildende Künste,Seegeister,,"Ilse Aichinger ; Entwurf, Graphik und Druck von Renate Altenrath",Einmalige Auflage,Braunschweig,Hochschule für Bildende Künste,1970,1970,,[18] Seiten,Illustrationen,,,,,Erzählende Prosa,Pressendruck,Deutsch,,,M:Quart,
